UniqID	ICD-10_Description	ICD-9_Description
023430	Posterior displaced fracture of sternal end of left clavicle, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of other bone
014090	Posterior displaced fracture of sternal end of unspecified clavicle, initial encounter for closed fracture	Closed fracture of sternal end of clavicle
014098	Posterior displaced fracture of sternal end of unspecified clavicle, initial encounter for open fracture	Open fracture of sternal end of clavicle
023431	Posterior displaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of other bone
023432	Nondisplaced fracture of sternal end of right clavicle, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of other bone
023433	Nondisplaced fracture of sternal end of left clavicle, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of other bone
014091	Nondisplaced fracture of sternal end of unspecified clavicle, initial encounter for closed fracture	Closed fracture of sternal end of clavicle
014099	Nondisplaced fracture of sternal end of unspecified clavicle, initial encounter for open fracture	Open fracture of sternal end of clavicle
023434	Nondisplaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of other bone
023435	Displaced fracture of shaft of right clavicle, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of other bone
023436	Displaced fracture of shaft of left clavicle, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of other bone
014092	Displaced fracture of shaft of unspecified clavicle, initial encounter for closed fracture	Closed fracture of shaft of clavicle
014100	Displaced fracture of shaft of unspecified clavicle, initial encounter for open fracture	Open fracture of shaft of clavicle
023437	Displaced fracture of shaft of unspecified clavicle, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of other bone
023438	Nondisplaced fracture of shaft of right clavicle, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of other bone
023439	Nondisplaced fracture of shaft of left clavicle, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of other bone
014093	Nondisplaced fracture of shaft of unspecified clavicle, initial encounter for closed fracture	Closed fracture of shaft of clavicle
014101	Nondisplaced fracture of shaft of unspecified clavicle, initial encounter for open fracture	Open fracture of shaft of clavicle
023440	Nondisplaced fracture of shaft of unspecified clavicle, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of other bone
023441	Displaced fracture of lateral end of right clavicle, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of other bone
023442	Displaced fracture of lateral end of left clavicle, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of other bone
014094	Displaced fracture of lateral end of unspecified clavicle, initial encounter for closed fracture	Closed fracture of acromial end of clavicle
014102	Displaced fracture of lateral end of unspecified clavicle, initial encounter for open fracture	Open fracture of acromial end of clavicle
023443	Displaced fracture of lateral end of unspecified clavicle, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of other bone
023444	Nondisplaced fracture of lateral end of right clavicle, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of other bone
023445	Nondisplaced fracture of lateral end of left clavicle, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of other bone
014095	Nondisplaced fracture of lateral end of unspecified clavicle, initial encounter for closed fracture	Closed fracture of acromial end of clavicle
014103	Nondisplaced fracture of lateral end of unspecified clavicle, initial encounter for open fracture	Open fracture of acromial end of clavicle
023446	Nondisplaced fracture of lateral end of unspecified clavicle, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of other bone
021696	Fracture of unspecified part of scapula, right shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021697	Fracture of unspecified part of scapula, left shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014104	Fracture of unspecified part of scapula, unspecified shoulder, initial encounter for closed fracture	Closed fracture of scapula, unspecified part
014116	Fracture of unspecified part of scapula, unspecified shoulder, initial encounter for open fracture	Open fracture of scapula, unspecified part
021698	Fracture of unspecified part of scapula, unspecified shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021699	Displaced fracture of body of scapula, right shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021700	Displaced fracture of body of scapula, left shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014113	Displaced fracture of body of scapula, unspecified shoulder, initial encounter for closed fracture	Closed fracture of scapula, other
014125	Displaced fracture of body of scapula, unspecified shoulder, initial encounter for open fracture	Open fracture of scapula, other
021701	Displaced fracture of body of scapula, unspecified shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021702	Nondisplaced fracture of body of scapula, right shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021703	Nondisplaced fracture of body of scapula, left shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014114	Nondisplaced fracture of body of scapula, unspecified shoulder, initial encounter for closed fracture	Closed fracture of scapula, other
014126	Nondisplaced fracture of body of scapula, unspecified shoulder, initial encounter for open fracture	Open fracture of scapula, other
021704	Nondisplaced fracture of body of scapula, unspecified shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021705	Displaced fracture of acromial process, right shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021706	Displaced fracture of acromial process, left shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014105	Displaced fracture of acromial process, unspecified shoulder, initial encounter for closed fracture	Closed fracture of acromial process of scapula
014117	Displaced fracture of acromial process, unspecified shoulder, initial encounter for open fracture	Open fracture of acromial process of scapula
021707	Displaced fracture of acromial process, unspecified shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021708	Nondisplaced fracture of acromial process, right shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021709	Nondisplaced fracture of acromial process, left shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014106	Nondisplaced fracture of acromial process, unspecified shoulder, initial encounter for closed fracture	Closed fracture of acromial process of scapula
014118	Nondisplaced fracture of acromial process, unspecified shoulder, initial encounter for open fracture	Open fracture of acromial process of scapula
021710	Nondisplaced fracture of acromial process, unspecified shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021711	Displaced fracture of coracoid process, right shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021712	Displaced fracture of coracoid process, left shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014107	Displaced fracture of coracoid process, unspecified shoulder, initial encounter for closed fracture	Closed fracture of coracoid process of scapula
014119	Displaced fracture of coracoid process, unspecified shoulder, initial encounter for open fracture	Open fracture of coracoid process
021713	Displaced fracture of coracoid process, unspecified shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021714	Nondisplaced fracture of coracoid process, right shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021715	Nondisplaced fracture of coracoid process, left shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014108	Nondisplaced fracture of coracoid process, unspecified shoulder, initial encounter for closed fracture	Closed fracture of coracoid process of scapula
014120	Nondisplaced fracture of coracoid process, unspecified shoulder, initial encounter for open fracture	Open fracture of coracoid process
021716	Nondisplaced fracture of coracoid process, unspecified shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021717	Displaced fracture of glenoid cavity of scapula, right shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021718	Displaced fracture of glenoid cavity of scapula, left shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014109	Displaced fracture of glenoid cavity of scapula, unspecified shoulder, initial encounter for closed fracture	Closed fracture of glenoid cavity and neck of scapula
014121	Displaced fracture of glenoid cavity of scapula, unspecified shoulder, initial encounter for open fracture	Open fracture of glenoid cavity and neck of scapula
021719	Displaced fracture of glenoid cavity of scapula, unspecified shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021720	Nondisplaced fracture of glenoid cavity of scapula, right shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021721	Nondisplaced fracture of glenoid cavity of scapula, left shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014110	Nondisplaced fracture of glenoid cavity of scapula, unspecified shoulder, initial encounter for closed fracture	Closed fracture of glenoid cavity and neck of scapula
014122	Nondisplaced fracture of glenoid cavity of scapula, unspecified shoulder, initial encounter for open fracture	Open fracture of glenoid cavity and neck of scapula
021722	Nondisplaced fracture of glenoid cavity of scapula, unspecified shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021723	Displaced fracture of neck of scapula, right shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021724	Displaced fracture of neck of scapula, left shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014111	Displaced fracture of neck of scapula, unspecified shoulder, initial encounter for closed fracture	Closed fracture of glenoid cavity and neck of scapula
014123	Displaced fracture of neck of scapula, unspecified shoulder, initial encounter for open fracture	Open fracture of glenoid cavity and neck of scapula
021725	Displaced fracture of neck of scapula, unspecified shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021726	Nondisplaced fracture of neck of scapula, right shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021727	Nondisplaced fracture of neck of scapula, left shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014112	Nondisplaced fracture of neck of scapula, unspecified shoulder, initial encounter for closed fracture	Closed fracture of glenoid cavity and neck of scapula
014124	Nondisplaced fracture of neck of scapula, unspecified shoulder, initial encounter for open fracture	Open fracture of glenoid cavity and neck of scapula
021728	Nondisplaced fracture of neck of scapula, unspecified shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021729	Fracture of other part of scapula, right shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021730	Fracture of other part of scapula, left shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014115	Fracture of other part of scapula, unspecified shoulder, initial encounter for closed fracture	Closed fracture of scapula, other
014127	Fracture of other part of scapula, unspecified shoulder, initial encounter for open fracture	Open fracture of scapula, other
021731	Fracture of other part of scapula, unspecified shoulder, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021732	Unspecified fracture of upper end of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021733	Unspecified fracture of upper end of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014128	Unspecified fracture of upper end of unspecified humerus, initial encounter for closed fracture	Closed fracture of unspecified part of upper end of humerus
014137	Unspecified fracture of upper end of unspecified humerus, initial encounter for open fracture	Open fracture of unspecified part of upper end of humerus
021734	Unspecified fracture of upper end of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
010940	Unspecified fracture of upper end of unspecified humerus, subsequent encounter for fracture with nonunion	Nonunion of fracture
010904	Unspecified fracture of upper end of unspecified humerus, subsequent encounter for fracture with malunion	Malunion of fracture
015968	Unspecified fracture of upper end of unspecified humerus, sequela	Late effect of fracture of upper extremities
021735	Unspecified displaced fracture of surgical neck of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021736	Unspecified displaced fracture of surgical neck of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014129	Unspecified displaced fracture of surgical neck of unspecified humerus, initial encounter for closed fracture	Closed fracture of surgical neck of humerus
014138	Unspecified displaced fracture of surgical neck of unspecified humerus, initial encounter for open fracture	Open fracture of surgical neck of humerus
021737	Unspecified displaced fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021738	Unspecified nondisplaced fracture of surgical neck of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021739	Unspecified nondisplaced fracture of surgical neck of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014130	Unspecified nondisplaced fracture of surgical neck of unspecified humerus, initial encounter for closed fracture	Closed fracture of surgical neck of humerus
014139	Unspecified nondisplaced fracture of surgical neck of unspecified humerus, initial encounter for open fracture	Open fracture of surgical neck of humerus
021740	Unspecified nondisplaced fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021741	2-part displaced fracture of surgical neck of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021742	2-part displaced fracture of surgical neck of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021743	2-part displaced fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021744	2-part nondisplaced fracture of surgical neck of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021745	2-part nondisplaced fracture of surgical neck of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021746	2-part nondisplaced fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021747	3-part fracture of surgical neck of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021748	3-part fracture of surgical neck of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021749	3-part fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021750	4-part fracture of surgical neck of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021751	4-part fracture of surgical neck of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021752	4-part fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021753	Displaced fracture of greater tuberosity of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021754	Displaced fracture of greater tuberosity of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014133	Displaced fracture of greater tuberosity of unspecified humerus, initial encounter for closed fracture	Closed fracture of greater tuberosity of humerus
014142	Displaced fracture of greater tuberosity of unspecified humerus, initial encounter for open fracture	Open fracture of greater tuberosity of humerus
021755	Displaced fracture of greater tuberosity of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021756	Nondisplaced fracture of greater tuberosity of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021757	Nondisplaced fracture of greater tuberosity of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014134	Nondisplaced fracture of greater tuberosity of unspecified humerus, initial encounter for closed fracture	Closed fracture of greater tuberosity of humerus
014143	Nondisplaced fracture of greater tuberosity of unspecified humerus, initial encounter for open fracture	Open fracture of greater tuberosity of humerus
021758	Nondisplaced fracture of greater tuberosity of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021759	Displaced fracture of lesser tuberosity of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021760	Displaced fracture of lesser tuberosity of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021761	Displaced fracture of lesser tuberosity of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021762	Nondisplaced fracture of lesser tuberosity of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021763	Nondisplaced fracture of lesser tuberosity of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021764	Nondisplaced fracture of lesser tuberosity of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021765	Torus fracture of upper end of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021766	Torus fracture of upper end of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021767	Torus fracture of upper end of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021768	Other displaced fracture of upper end of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021769	Other displaced fracture of upper end of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014131	Other displaced fracture of upper end of unspecified humerus, initial encounter for closed fracture	Closed fracture of anatomical neck of humerus
014135	Other displaced fracture of upper end of unspecified humerus, initial encounter for closed fracture	Other closed fracture of upper end of humerus
014140	Other displaced fracture of upper end of unspecified humerus, initial encounter for open fracture	Open fracture of anatomical neck of humerus
014144	Other displaced fracture of upper end of unspecified humerus, initial encounter for open fracture	Other open fracture of upper end of humerus
021770	Other displaced fracture of upper end of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021771	Other nondisplaced fracture of upper end of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014132	Other nondisplaced fracture of upper end of left humerus, initial encounter for closed fracture	Closed fracture of anatomical neck of humerus
021772	Other nondisplaced fracture of upper end of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014136	Other nondisplaced fracture of upper end of unspecified humerus, initial encounter for closed fracture	Other closed fracture of upper end of humerus
014141	Other nondisplaced fracture of upper end of unspecified humerus, initial encounter for open fracture	Open fracture of anatomical neck of humerus
014145	Other nondisplaced fracture of upper end of unspecified humerus, initial encounter for open fracture	Other open fracture of upper end of humerus
021773	Other nondisplaced fracture of upper end of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021774	Unspecified fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021775	Unspecified fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014146	Unspecified fracture of shaft of humerus, unspecified arm, initial encounter for closed fracture	Closed fracture of unspecified part of humerus
014148	Unspecified fracture of shaft of humerus, unspecified arm, initial encounter for open fracture	Open fracture of unspecified part of humerus
021776	Unspecified fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
015969	Unspecified fracture of shaft of humerus, unspecified arm, sequela	Late effect of fracture of upper extremities
021777	Greenstick fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021778	Greenstick fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021779	Greenstick fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021780	Displaced transverse fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021781	Displaced transverse fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021782	Displaced transverse fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021783	Nondisplaced transverse fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021784	Nondisplaced transverse fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021785	Nondisplaced transverse fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021786	Displaced oblique fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021787	Displaced oblique fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021788	Displaced oblique fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021789	Nondisplaced oblique fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021790	Nondisplaced oblique fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021791	Nondisplaced oblique fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021792	Displaced spiral fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021793	Displaced spiral fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021794	Displaced spiral fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021795	Nondisplaced spiral fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021796	Nondisplaced spiral fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021797	Nondisplaced spiral fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021798	Displaced comminuted fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021799	Displaced comminuted fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021800	Displaced comminuted fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021801	Nondisplaced comminuted fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021802	Nondisplaced comminuted fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021803	Nondisplaced comminuted fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021804	Displaced segmental fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021805	Displaced segmental fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021806	Displaced segmental fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021807	Nondisplaced segmental fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021808	Nondisplaced segmental fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
023949	Illness, unspecified	Other unknown and unspecified cause of morbidity and mortality
021809	Nondisplaced segmental fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021810	Other fracture of shaft of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021811	Other fracture of shaft of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014147	Other fracture of shaft of unspecified humerus, initial encounter for closed fracture	Closed fracture of shaft of humerus
014149	Other fracture of shaft of unspecified humerus, initial encounter for open fracture	Open fracture of shaft of humerus
021812	Other fracture of shaft of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021813	Unspecified fracture of lower end of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021814	Unspecified fracture of lower end of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014150	Unspecified fracture of lower end of unspecified humerus, initial encounter for closed fracture	Closed fracture of unspecified part of lower end of humerus
014165	Unspecified fracture of lower end of unspecified humerus, initial encounter for open fracture	Open fracture of unspecified part of lower end of humerus
021815	Unspecified fracture of lower end of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
015970	Unspecified fracture of lower end of unspecified humerus, sequela	Late effect of fracture of upper extremities
021816	Displaced simple supracondylar fracture without intercondylar fracture of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021817	Displaced simple supracondylar fracture without intercondylar fracture of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014151	Displaced simple supracondylar fracture without intercondylar fracture of unspecified humerus, initial encounter for closed fracture	Closed supracondylar fracture of humerus
014166	Displaced simple supracondylar fracture without intercondylar fracture of unspecified humerus, initial encounter for open fracture	Open supracondylar fracture of humerus
021818	Displaced simple supracondylar fracture without intercondylar fracture of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021819	Nondisplaced simple supracondylar fracture without intercondylar fracture of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021820	Nondisplaced simple supracondylar fracture without intercondylar fracture of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014152	Nondisplaced simple supracondylar fracture without intercondylar fracture of unspecified humerus, initial encounter for closed fracture	Closed supracondylar fracture of humerus
014167	Nondisplaced simple supracondylar fracture without intercondylar fracture of unspecified humerus, initial encounter for open fracture	Open supracondylar fracture of humerus
021821	Nondisplaced simple supracondylar fracture without intercondylar fracture of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021822	Displaced comminuted supracondylar fracture without intercondylar fracture of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021823	Displaced comminuted supracondylar fracture without intercondylar fracture of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021824	Displaced comminuted supracondylar fracture without intercondylar fracture of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021825	Nondisplaced comminuted supracondylar fracture without intercondylar fracture of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021826	Nondisplaced comminuted supracondylar fracture without intercondylar fracture of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021827	Nondisplaced comminuted supracondylar fracture without intercondylar fracture of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021828	Displaced fracture (avulsion) of lateral epicondyle of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021829	Displaced fracture (avulsion) of lateral epicondyle of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014153	Displaced fracture (avulsion) of lateral epicondyle of unspecified humerus, initial encounter for closed fracture	Closed fracture of lateral condyle of humerus
021830	Displaced fracture (avulsion) of lateral epicondyle of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021831	Nondisplaced fracture (avulsion) of lateral epicondyle of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021832	Nondisplaced fracture (avulsion) of lateral epicondyle of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014154	Nondisplaced fracture (avulsion) of lateral epicondyle of unspecified humerus, initial encounter for closed fracture	Closed fracture of lateral condyle of humerus
